Azodicarboxylates,Phosphines,Temperatures,Phosphine Equiv,Azadicarboxylate Equiv.,N-Boc Pyrrolidine,Solvents,yield,purity,priority
DIAD,TFP,35,1.2,1.05,0.95,MeCN,PENDING,PENDING,0
DIAD,TFP,35,1.05,1.4,0.95,EtOAc,PENDING,PENDING,0
DIAD,TFP,35,1.05,1.4,1.05,2-MeTHF,PENDING,PENDING,0
DIAD,TFP,35,1.05,1.4,1.05,MeCN,PENDING,PENDING,0
DIAD,TFP,35,1.05,1.4,1.05,PhMe,PENDING,PENDING,0
DIAD,TFP,35,1.05,1.4,1.05,EtOAc,PENDING,PENDING,0
DIAD,TFP,35,1.05,1.4,1.2,2-MeTHF,PENDING,PENDING,0
DIAD,TFP,35,1.05,1.4,1.2,MeCN,PENDING,PENDING,0
DIAD,TFP,35,1.05,1.4,1.2,PhMe,PENDING,PENDING,0
DIAD,TFP,35,1.05,1.4,1.2,EtOAc,PENDING,PENDING,0
DIAD,TFP,35,1.2,1.05,0.95,2-MeTHF,PENDING,PENDING,0
DIAD,TFP,35,1.2,1.05,0.95,PhMe,PENDING,PENDING,0
DIAD,TFP,35,1.2,1.2,0.95,MeCN,PENDING,PENDING,0
DIAD,TFP,35,1.2,1.05,0.95,EtOAc,PENDING,PENDING,0
DIAD,TFP,35,1.2,1.05,1.05,2-MeTHF,PENDING,PENDING,0
DIAD,TFP,35,1.2,1.05,1.05,MeCN,PENDING,PENDING,0
DIAD,TFP,35,1.2,1.05,1.05,PhMe,PENDING,PENDING,0
DIAD,TFP,35,1.2,1.05,1.05,EtOAc,PENDING,PENDING,0
DIAD,TFP,35,1.2,1.05,1.2,2-MeTHF,PENDING,PENDING,0
DIAD,TFP,35,1.2,1.05,1.2,MeCN,PENDING,PENDING,0
DIAD,TFP,35,1.2,1.05,1.2,PhMe,PENDING,PENDING,0
DIAD,TFP,35,1.2,1.05,1.2,EtOAc,PENDING,PENDING,0
DIAD,TFP,35,1.2,1.2,0.95,2-MeTHF,PENDING,PENDING,0
DBAD,PPh3,5,1.4,1.05,0.95,EtOAc,PENDING,PENDING,0
DBAD,PPh3,5,1.4,1.05,1.05,2-MeTHF,PENDING,PENDING,0
DBAD,PPh3,5,1.4,1.05,1.05,MeCN,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.2,1.2,2-MeTHF,PENDING,PENDING,0
DBAD,PPh3,20,1.4,1.4,1.2,2-MeTHF,PENDING,PENDING,0
DBAD,PPh3,20,1.4,1.4,1.2,MeCN,PENDING,PENDING,0
DBAD,PPh3,20,1.4,1.4,1.2,PhMe,PENDING,PENDING,0
DBAD,PPh3,20,1.4,1.4,1.2,EtOAc,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.05,0.95,2-MeTHF,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.05,0.95,MeCN,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.05,0.95,PhMe,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.05,0.95,EtOAc,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.05,1.05,2-MeTHF,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.05,1.05,MeCN,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.05,1.05,PhMe,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.05,1.05,EtOAc,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.05,1.2,2-MeTHF,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.05,1.2,MeCN,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.05,1.2,PhMe,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.05,1.2,EtOAc,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.2,0.95,2-MeTHF,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.2,0.95,MeCN,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.2,0.95,PhMe,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.2,0.95,EtOAc,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.2,1.05,2-MeTHF,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.2,1.05,MeCN,PENDING,PENDING,0
DBAD,PPh3,35,1.05,1.2,1.05,PhMe,PENDING,PENDING,0
DBAD,PPh3,20,1.4,1.4,1.05,EtOAc,PENDING,PENDING,0
DBAD,PPh3,20,1.4,1.4,1.05,PhMe,PENDING,PENDING,0
DBAD,PPh3,20,1.4,1.4,1.05,MeCN,PENDING,PENDING,0
